filename,Op rate,Partition rate,Row rate,Latency mean,Latency median,Latency 95th percentile,Latency 99th percentile,Latency 99.9th percentile,Latency max,Total partitions,Total errors,Total GC count,Total GC memory,Total GC time,Avg GC time,StdDev GC time,Total operation time
cassandra_testing_3_2024-02-15_03-45-24.csv,3639.0,3639.0,36391.25,3.4,0.5125,6.325,40.475,879.6,1822.5625,438294.125,0.0,0.0,0.0,0.0,,0.0,
cassandra_4.1.3_80-Read-20-Write_600_36_1_2024-03-11_07-15-45.csv,36250.25,36250.25,362554.75,1.0,0.7,1.1,2.825,33.2,154.625,21766899.0,0.0,0.0,0.0,0.0,,0.0,
cassandra_4s-8c-4.1.3_80-Read-20-Write_600_36_1_2024-03-11_07-43-11.csv,37643.0,23327.625,233298.25,1.0,0.5875,1.45,14.9125,25.95,1199.775,14008543.0,0.0,0.0,0.0,0.0,,0.0,
cassandra_108-55GB-100TB_80-Read-20-Write_600_36_1_2024-03-20_08-41-20.csv,54866.0,54866.0,548748.0,0.6,0.6,0.9,1.1,23.7,93.2,32952384.0,0.0,0.0,0.0,0.0,,0.0,
cassandra_108-55GB-100TB-16H_80-Read-20-Write_600_36_1_2024-03-20_09-04-54.csv,52978.0,52978.0,529860.0,0.7,0.6,0.9,1.1,26.5,117.6,31804275.0,0.0,0.0,0.0,0.0,,0.0,
cassandra_108-55GB-100TB-32H_80-Read-20-Write_600_36_1_2024-03-20_09-26-52.csv,45635.0,45635.0,456405.0,0.8,0.7,1.0,1.3,40.8,95.2,27389043.0,0.0,0.0,0.0,0.0,,0.0,
cassandra_108-55GB-100TB-16H-all_80-Read-20-Write_600_36_1_2024-03-20_10-06-12.csv,54159.0,54159.0,541613.0,0.6,0.6,0.9,1.1,3.2,233.6,32543818.0,0.0,0.0,0.0,0.0,,0.0,
cassandra_108-55GB-100TB-32H-all_80-Read-20-Write_600_36_1_2024-03-20_10-30-32.csv,54636.0,54636.0,546456.0,0.6,0.6,0.9,1.1,3.3,923.8,32795545.0,0.0,0.0,0.0,0.0,,0.0,
cassandra_108-200GB-100TB-16H-all-4c-8c_80-Read-20-Write_600_36_1_2024-03-20_15-23-01.csv,30008.75,30008.75,300124.25,1.2,0.8,1.7,4.4,100.5875,1123.425,18025188.875,0.0,0.0,0.0,0.0,,0.0,
cassandra_108-200GB-100TB-16H-all-4c-4c_80-Read-20-Write_600_36_1_2024-03-20_16-25-59.csv,44726.75,44726.75,447309.0,0.8,0.6,0.9,1.2,5.3500000000000005,674.0250000000001,26858696.25,0.0,0.0,0.0,0.0,,0.0,
