ts,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11,CPU12,CPU13,CPU14,CPU15,CPU16,CPU17,CPU18,CPU19,CPU20,CPU21,CPU22,CPU23,CPU24,CPU25,CPU26,CPU27,CPU28,CPU29,CPU30,CPU31,CPU32,CPU33,CPU34,CPU35,CPU36,CPU37,CPU38,CPU39,CPU40,CPU41,CPU42,CPU43,CPU44,CPU45,CPU46,CPU47,CPU48,CPU49,CPU50,CPU51,CPU52,CPU53,CPU54,CPU55,CPU56,CPU57,CPU58,CPU59,CPU60,CPU61,CPU62,CPU63,CPU64,CPU65,CPU66,CPU67,CPU68,CPU69,CPU70,CPU71,CPU72,CPU73,CPU74,CPU75,CPU76,CPU77,CPU78,CPU79,CPU80,CPU81,CPU82,CPU83,CPU84,CPU85,CPU86,CPU87,CPU88,CPU89,CPU90,CPU91,CPU92,CPU93,CPU94,CPU95,CPU96,CPU97,CPU98,CPU99,CPU100,CPU101,CPU102,CPU103,CPU104,CPU105,CPU106,CPU107,CPU108,CPU109,CPU110,CPU111,CPU112,CPU113,CPU114,CPU115,CPU116,CPU117,CPU118,CPU119,CPU120,CPU121,CPU122,CPU123,CPU124,CPU125,CPU126,CPU127,CPU128,CPU129,CPU130,CPU131,CPU132,CPU133,CPU134,CPU135,CPU136,CPU137,CPU138,CPU139,CPU140,CPU141,CPU142,CPU143,CPU144,CPU145,CPU146,CPU147,CPU148,CPU149,CPU150,CPU151,CPU152,CPU153,CPU154,CPU155,CPU156,CPU157,CPU158,CPU159,CPU160,CPU161,CPU162,CPU163,CPU164,CPU165,CPU166,CPU167,CPU168,CPU169,CPU170,CPU171,CPU172,CPU173,CPU174,CPU175,CPU176,CPU177,CPU178,CPU179,CPU180,CPU181,CPU182,CPU183,CPU184,CPU185,CPU186,CPU187,CPU188,CPU189,CPU190,CPU191,CPU192,CPU193,CPU194,CPU195,CPU196,CPU197,CPU198,CPU199,CPU200,CPU201,CPU202,CPU203,CPU204,CPU205,CPU206,CPU207,CPU208,CPU209,CPU210,CPU211,CPU212,CPU213,CPU214,CPU215,CPU216,CPU217,CPU218,CPU219,CPU220,CPU221,CPU222,CPU223
1772305815.093367,28117488,53214980,49830781,50361710,52164799,53650112,50364528,51303971,53103235,53030089,52148128,54573475,50700138,52299051,50188874,50065125,48136785,50014125,48102934,47439172,46855424,46268926,45514108,49009288,46681560,46778927,46353011,44241379,47434228,46365992,46956167,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305816.144515,28117489,53214994,49830795,50361726,52164799,53650138,50364540,51303973,53103261,53030120,52148128,54573476,50700138,52299051,50188875,50065150,48136785,50014161,48102958,47439196,46855448,46268939,45514108,49009288,46681596,46778927,46353022,44241422,47434228,46365992,46956167,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305817.193928,28117489,53215003,49830804,50361735,52164799,53650144,50364550,51303976,53103261,53030157,52148128,54573476,50700138,52299051,50188875,50065150,48136785,50014172,48102958,47439196,46855448,46268951,45514108,49009288,46681607,46778927,46353042,44241464,47434228,46365992,46956167,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305818.243496,28117490,53215003,49830809,50361742,52164799,53650146,50364555,51303976,53103261,53030173,52148128,54573477,50700138,52299051,50188876,50065150,48136785,50014172,48102965,47439203,46855455,46268958,45514108,49009288,46681607,46778927,46353051,44241480,47434228,46365992,46956167,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305819.293835,28127348,53241950,49852497,50384624,52191087,53676882,50387330,51326337,53130896,53059167,52173997,54602793,50726328,52324689,50210711,50087954,48161991,50040604,48124544,47463997,46880856,46291302,45533569,49035530,46708439,46804062,46379130,44262068,47459262,46390542,46971850,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305820.344810,28142995,53283535,49886453,50420277,52232273,53718209,50423140,51361688,53172743,53102826,52213479,54647087,50767069,52364145,50244448,50123184,48201453,50082386,48158607,47502354,46920105,46326154,45564099,49075806,46750462,46842688,46420448,44294123,47498852,46428844,46996145,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305821.395196,28158421,53325124,49920379,50455604,52273350,53759559,50458745,51396738,53214562,53146341,52252884,54691208,50807614,52403346,50278104,50158218,48241163,50123854,48192747,47540530,46958926,46360921,45594455,49115896,46792537,46881330,46461530,44325835,47538247,46467149,47020272,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305822.447087,28173996,53366975,49954538,50491607,52314610,53801003,50494521,51431734,53256479,53190189,52292612,54735532,50848647,52442741,50312002,50193439,48281145,50165385,48227279,47579395,46997974,46396011,45625259,49156345,46834729,46920029,46502939,44357678,47577841,46505590,47044990,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305823.498093,28189472,53408267,49988420,50527163,52355970,53842383,50530105,51466650,53297887,53233881,52331724,54779357,50889289,52481842,50345741,50228651,48320788,50206751,48262005,47618002,47036862,46430966,45655948,49196718,46876935,46958402,46544318,44389622,47617162,46544003,47070330,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1772305824.549762,28204863,53449351,50022181,50562704,52397207,53883571,50565651,51501718,53339447,53277195,52371335,54823320,50929928,52520951,50379482,50263957,48360408,50247949,48296642,47656529,47075836,46465909,45686656,49237130,46919084,46996811,46585470,44421400,47656414,46582272,47095135,5835631,4091032,3791172,3726405,3978576,3944921,3900696,3846328,3970287,4242334,4274961,3814733,3740626,3783276,3905561,4105946,4134685,3677087,3759079,3857182,4066485,4250087,3527840,4045170,4220032,4309492,3894801,4292161,3943945,4264731,4178594,3765196,3856359,4163889,4225167,4172675,3960884,4213380,4327063,3916089,3984692,4171741,4253072,4329062,4508965,4138271,3823262,3808500,4140406,4043689,4100365,4666613,4161251,3937681,3992830,4204998,3909322,3905172,4199857,3989898,3875157,3777753,4249840,3900111,4257120,4121685,4127433,3910412,3831361,3802368,4053774,3999048,4230201,3915819,3951455,4123091,4258776,3888617,4453692,4092788,3928114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
