
		   OS Processor <-> Physical/Logical Mapping
		   -----------------------------------------
	OS Processor	Phys. Package	Module	Core	Logical Processor	Core Type	Core Arch
	0           	0            	3     	0   	0                	core     	Panther Cove	
	1           	0            	3     	1   	0                	core     	Panther Cove	
	2           	0            	5     	0   	0                	core     	Panther Cove	
	3           	0            	5     	1   	0                	core     	Panther Cove	
	4           	0            	6     	0   	0                	core     	Panther Cove	
	5           	0            	6     	1   	0                	core     	Panther Cove	
	6           	0            	8     	0   	0                	core     	Panther Cove	
	7           	0            	8     	1   	0                	core     	Panther Cove	
	8           	0            	9     	0   	0                	core     	Panther Cove	
	9           	0            	9     	1   	0                	core     	Panther Cove	
	10          	0            	10    	0   	0                	core     	Panther Cove	
	11          	0            	10    	1   	0                	core     	Panther Cove	
	12          	0            	11    	0   	0                	core     	Panther Cove	
	13          	0            	11    	1   	0                	core     	Panther Cove	
	14          	0            	12    	0   	0                	core     	Panther Cove	
	15          	0            	12    	1   	0                	core     	Panther Cove	
	16          	0            	13    	0   	0                	core     	Panther Cove	
	17          	0            	13    	1   	0                	core     	Panther Cove	
	18          	0            	14    	0   	0                	core     	Panther Cove	
	19          	0            	14    	1   	0                	core     	Panther Cove	
	20          	0            	17    	0   	0                	core     	Panther Cove	
	21          	0            	17    	1   	0                	core     	Panther Cove	
	22          	0            	18    	0   	0                	core     	Panther Cove	
	23          	0            	18    	1   	0                	core     	Panther Cove	
	24          	0            	19    	0   	0                	core     	Panther Cove	
	25          	0            	19    	1   	0                	core     	Panther Cove	
	26          	0            	21    	0   	0                	core     	Panther Cove	
	27          	0            	21    	1   	0                	core     	Panther Cove	
	28          	0            	22    	0   	0                	core     	Panther Cove	
	29          	0            	22    	1   	0                	core     	Panther Cove	
	30          	0            	23    	0   	0                	core     	Panther Cove	
	31          	0            	23    	1   	0                	core     	Panther Cove	
		   -----------------------------------------
