MemTotal:       1056040732 kB
MemFree:        1037753796 kB
MemAvailable:   1035007880 kB
Buffers:          161176 kB
Cached:          3096704 kB
SwapCached:            0 kB
Active:           846460 kB
Inactive:        2979224 kB
Active(anon):     587180 kB
Inactive(anon):        0 kB
Active(file):     259280 kB
Inactive(file):  2979224 kB
Unevictable:       36412 kB
Mlocked:           27412 kB
SwapTotal:       8388604 kB
SwapFree:        8388604 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        604792 kB
Mapped:            76088 kB
Shmem:             10660 kB
KReclaimable:     283776 kB
Slab:             717772 kB
SReclaimable:     283776 kB
SUnreclaim:       433996 kB
KernelStack:       10720 kB
PageTables:         7468 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    536408968 kB
Committed_AS:    1461900 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:       88916 kB
VmallocChunk:          0 kB
Percpu:           171136 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     3334860 kB
DirectMap2M:    34007040 kB
DirectMap1G:    1035993088 kB
